Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
2009.0,1,119,167,87.0,42,237,712,805,619,45803.0,106662.0,700,172,646,690,232,
1998.0,4,100,198,66.0,17,530,446,363,911,187927.0,14378331.0,23,2,422,353,6,0.0
2019.0,2,126,87,73.0,498,415,46,824,89,60408.0,,446,112,164,413,104,0.0
2019.0,2,126,87,73.0,498,415,46,824,89,60408.0,,410,75,182,592,134,0.0
1981.0,3,149,52,86.0,530,341,290,466,335,231855.0,11487676.0,690,168,439,59,192,6.0
1920.0,4,76,188,,424,633,143,251,539,57428.0,,700,172,646,690,232,
2001.0,3,120,179,60.0,363,454,125,616,914,90842.0,141072.0,700,172,646,690,232,
2009.0,1,144,154,82.0,330,129,212,489,879,68715.0,2222647.0,700,172,646,690,232,
1978.0,4,127,8,71.0,156,154,438,758,277,111512.0,5100000.0,199,120,596,473,6,0.0
1978.0,4,127,8,71.0,156,154,438,758,277,111512.0,5100000.0,198,141,407,282,149,0.0
2014.0,1,130,4,79.0,318,220,441,35,512,411599.0,208545589.0,415,153,621,531,9,1.0
1978.0,1,94,172,93.0,485,506,88,744,542,52852.0,,631,112,364,382,79,0.0
1993.0,0,102,93,78.0,408,291,811,548,756,165465.0,7993039.0,520,112,231,237,6,0.0
1995.0,3,121,47,62.0,227,327,243,156,519,90442.0,1037847.0,305,37,90,380,23,0.0
2004.0,4,90,132,52.0,451,470,246,827,833,49728.0,6013.0,469,87,391,671,6,1.0
1989.0,0,128,100,79.0,385,519,662,223,448,425457.0,95860116.0,645,112,553,514,106,0.0
2016.0,3,108,2,65.0,496,535,567,797,219,902669.0,363070709.0,512,112,621,543,6,0.0
2018.0,3,119,2,66.0,102,535,410,589,460,478586.0,324591735.0,513,116,151,543,20,0.0
2006.0,4,126,123,,455,590,440,60,926,28630.0,,700,172,646,690,232,
1991.0,3,99,94,66.0,303,302,501,198,685,80487.0,1794187.0,290,20,251,146,183,1.0
1972.0,0,109,52,80.0,233,328,94,600,754,98740.0,7056013.0,267,112,156,632,6,3.0
1987.0,0,128,147,79.0,528,94,727,626,172,64722.0,3333969.0,700,172,646,690,232,
1986.0,3,130,129,54.0,216,552,126,298,240,102031.0,7153487.0,700,172,646,690,232,
2004.0,3,156,87,82.0,363,94,23,842,462,331308.0,5509040.0,700,172,646,690,232,
2010.0,0,95,73,72.0,387,125,737,353,770,500851.0,251513985.0,105,127,646,574,6,1.0
